event_date,event_time,event_name,event_url,event_img_thumbnail_link,performer_url,special_guest_names,event_price,door_price,event_status,ticket_url,venue_name,venue_url,event_age
"Tuesday, March 3, 2020",7:00 pm,SUDAN ARCHIVES,https://first-avenue.com/event/2020/03/sudanarchives,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/SudanArchives%2011x17%20copy.jpg?itok=WsR7oo-7,https://first-avenue.com/event/2020/03/sudanarchives,with CARTEL MADRAS,,$15.00,Sold Out,,7th St Entry,https://first-avenue.com/venue/entry,18+
"Tuesday, March 3, 2020",7:00 pm,WIRE + WIRE DJs (a different member of Wire DJing each night),https://first-avenue.com/event/2020/03/wire,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Wire-030320-600web.jpg?itok=_n-cD9AM,https://first-avenue.com/event/2020/03/wire,with DJ JAKE RUDH,$25.00,$40.00,Buy Tickets,https://www.etix.com/ticket/p/2447532/wire-minneapolis-fine-line?cobrand=first-avenue,Fine Line,https://first-avenue.com/venue/fineline,18+
"Tuesday, March 3, 2020",7:00 pm,A Special Evening of Music with NATHANIEL RATELIFF,https://first-avenue.com/event/2020/03/nathanielrateliff-tue,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/NathanielRateliffSecondShow-388x600web.jpg?itok=PycNZXBg,https://first-avenue.com/event/2020/03/nathanielrateliff-tue,with COURTNEY MARIE ANDREWS,,,Buy Tickets,https://www.ticketmaster.com/event/06005776B55F89C0,State Theatre,https://first-avenue.com/venue/state-theatre,ALL AGES
"Wednesday, March 4, 2020",7:00 pm,MARIA AND THE COINS 'Forward' Album Release,https://first-avenue.com/event/2020/03/mariaandthecoins,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/MariaandtheCoins-030420-387x600web.jpg?itok=WsoA7c0V,https://first-avenue.com/event/2020/03/mariaandthecoins,with JILLIAN RAE and EMILY HAAVIK,$12.00,$15.00,Buy Tickets,https://www.etix.com/ticket/p/7047297/maria-and-the-coins-forwardalbum-release-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Wednesday, March 4, 2020",7:00 pm,GLASS ANIMALS: Déjà vu Tour,https://first-avenue.com/event/2020/03/glassanimals,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/GlassAnimals-030430-387x600web.jpg?itok=HmPWxD3x,https://first-avenue.com/event/2020/03/glassanimals,,$35.00,$45.00,Sold Out,,Fine Line,https://first-avenue.com/venue/fineline,18+
"Wednesday, March 4, 2020",7:00 pm,A Special Evening of Music with NATHANIEL RATELIFF,https://first-avenue.com/event/2020/03/nathanielrateliff,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/NathanielRateliff-030419-388x600web.jpg?itok=OJWy0mFy,https://first-avenue.com/event/2020/03/nathanielrateliff,with COURTNEY MARIE ANDREWS,,,Buy Tickets,https://www.ticketmaster.com/event/0600576DB09E5F61,State Theatre,https://first-avenue.com/venue/state-theatre,ALL AGES
"Wednesday, March 4, 2020",7:00 pm,KAMASI WASHINGTON,https://first-avenue.com/event/2020/03/kamasiwashington,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/KamasiWashington-030420-388x600web.jpg?itok=qNhw4RsR,https://first-avenue.com/event/2020/03/kamasiwashington,with ASTRALBLAK,,$35.00,Buy Tickets,https://www.etix.com/ticket/p/2860058/kamasi-washington-minneapolis-the-fitzgerald-theater?cobrand=first-avenue,The Fitzgerald Theater,https://first-avenue.com/venue/fitzgerald-theater,ALL AGES
"Thursday, March 5, 2020",7:00 pm,DAVE HAUSE & THE MERMAID,https://first-avenue.com/event/2020/03/davehause,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/DaveHause-030520-388x600web.jpg?itok=jlOJ-yqh,https://first-avenue.com/event/2020/03/davehause,with INDIANOLA,$15.00,$18.00,Buy Tickets,https://www.etix.com/ticket/p/3874799/dave-hause-the-mermaid-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Thursday, March 5, 2020",7:30 pm,ANDY SHAUF,https://first-avenue.com/event/2020/03/andyshauf,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/AndyShauf-030520-388x600web.jpg?itok=D0a-E4rc,https://first-avenue.com/event/2020/03/andyshauf,with MOLLY SARLÉ,$20.00,$25.00,Buy Tickets,https://www.etix.com/ticket/p/2774356/andy-shaufwith-molly-sarl%C3%A9-minneapolis-fine-line?cobrand=first-avenue,Fine Line,https://first-avenue.com/venue/fineline,18+
"Thursday, March 5, 2020",8:00 pm,MUNGION,https://first-avenue.com/event/2020/03/mungion,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Mungion-2020-Tour-030520-427x600web.jpg?itok=LzqZbqg8,https://first-avenue.com/event/2020/03/mungion,with PORKY’S GROOVE MACHINE,$10.00,$12.00,Buy Tickets,https://www.etix.com/ticket/p/6611814/mungion-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
